-2.924916339914151 0.343411622317597 
-3.0640741810654912 0.49222057235421324 
-1.9338349289232937 0.9631060851513068 
-1.146387986826334 0.800349710778459 
-1.0121737582938346 0.554052646273155 
-2.4046501451791675 0.8912195755448801 
-2.1615647901094643 1.0382281944129852 
-1.4359950585666514 0.9276224484972897 
-0.7185417750556907 0.3017887375119377 
-1.665040398573347 0.9401553611235101 
-3.2121679716650995 -0.022459582139446176 
-0.8288803901282676 0.6168038315672119 
-1.8048440184442787 1.121280096230953 
-2.603998383345845 0.8324777941985648 
-2.825036970300114 0.6679808142180057 
-0.6022204084177657 -0.1013644590802812 
-1.530086 0.971679 7
-3.057476 0.173999 0
-1.967086 1.037826 2
-1.269717 0.699422 3
-1.098334 0.755928 3
-0.664035 0.249653 8
-0.900732 0.555934 11
-1.728686 0.921093 9
-0.603686 0.412606 8
-2.936046 0.507996 1
-3.222325 0.403654 1
-0.854035 0.247366 8
-1.389926 0.894704 7
-2.182247 1.142572 6
-0.685431 -0.191204 15
-0.881031 0.782511 11
-2.536648 0.994322 5
-0.695477 0.47837 8
-3.075008 0.127774 10
-2.614209 0.994106 13
-0.824833 0.695326 11
-1.421922 1.110568 7
-0.520192 -0.215322 15
-2.818884 0.57433 14
-1.997488 0.918606 2
-2.066772 1.172526 6
-0.761802 0.475412 11
-2.678043 0.666266 14
-3.35152 0.064971 10
-1.333777 0.822016 7
-3.132942 0.525934 1
-1.555813 0.998266 9
-2.757319 0.611532 14
-3.36427 -0.178796 10
-1.037543 0.733025 3
-1.142777 0.828895 3
-1.243707 0.946532 3
-2.971715 0.171581 0
-1.409441 0.789496 7
-0.605899 -0.182706 15
-0.918164 0.357038 8
-2.280679 0.935873 5
-1.927331 1.021794 2
-0.858724 0.592153 11
-2.324743 0.822491 5
-2.410117 0.93767 5
-1.3241 0.718096 3
-0.597787 -0.103641 15
-2.824258 0.60704 14
-1.880413 0.945843 2
-2.172288 1.018874 6
-1.328889 0.997778 7
-1.339856 0.950712 7
-3.30721 0.15258 10
-0.471175 -0.006015 15
-0.96384 0.527624 4
-1.551662 0.898448 7
-2.538066 0.874 13
-2.486705 1.044319 5
-2.792135 0.47433 0
-2.923474 0.440405 0
-2.859899 0.687966 14
-0.851208 0.508145 11
-0.579581 0.088697 15
-0.731384 0.184322 8
-1.590133 1.055217 9
-1.777441 1.139738 12
-0.63265 0.167251 8
-0.903221 0.707683 11
-0.746265 0.397621 8
-3.3283 0.048438 10
-1.709036 0.987024 9
-2.64305 0.861224 13
-3.285621 0.268009 10
-0.951795 0.435442 4
-0.724297 -0.194134 15
-0.497577 -0.273979 15
-3.041766 -0.015991 10
-1.066386 0.826316 3
-3.120829 0.198947 10
-2.852806 0.393142 0
-0.785141 0.627503 11
-1.067448 0.833775 3
-1.953931 1.023116 2
-0.620589 0.482882 8
-1.87163 1.099487 12
-0.494134 -0.09612 15
-1.235672 0.948676 3
-3.072751 0.507736 1
-2.584191 0.904754 13
-1.326769 1.046793 7
-2.936627 0.566066 1
-0.826731 0.310935 8
-3.072271 -0.299064 10
-1.16369 0.713823 3
-2.613374 0.818196 13
-1.528336 1.140993 7
-2.05047 0.910037 2
-0.687484 0.191074 8
-0.852399 0.724072 11
-0.781495 0.218716 8
-0.817563 0.280295 8
-0.712268 -0.228316 15
-0.591237 0.198164 8
-1.866634 1.175833 12
-0.633493 -0.256314 15
-0.628298 0.306087 8
-2.816302 0.399786 0
 0
