1.7763305833333345 -0.5562133630952394 
-1.436022600000003 -1.1967097 
1.2822731902552227 -1.3608069048723896 
1.2830769767441856 -0.890005741860464 
1.1899186983695687 -1.1266272527173922 
1.6063146666666714 -0.3622773333333332 
-1.2898256666666674 -1.412364333333334 
-1.8092110590405854 -0.38357445387453815 
1.8322090000000006 -0.04616120000000005 
-1.6620096175637409 -0.9182621784702553 
0.48019014207650346 -1.698768710382513 
-0.13785313636363633 -1.8551067070707046 
1.4889537857142885 -0.42506635714285684 
-1.2052228867924535 -1.0269038270440243 
-0.7368467543478268 -1.4917952913043484 
-0.5918416281407038 -1.5007207587939702 
1.4920119756097563 -1.2089413963414637 
-1.6660044150943385 -0.5668990452830196 
-0.5646231000000005 -1.8287626999999957 
0.7593921255813968 -1.5164484976744201 
0.00029904000000000085 -1.7371974622222213 
-1.542780923076922 -0.6035834346153848 
0.5873711439393934 -1.5595746515151503 
-1.4189677989949754 -0.6563723216080395 
-0.9916060000000007 -1.4816313333333346 
-0.5876112731277543 -1.6649144669603564 
-0.40990230468749994 -1.6421078828124984 
-1.0165744999999988 -1.6587815000000012 
-0.3189515699300706 -1.8231956398601397 
0.3680867147540978 -1.8327062393442644 
1.7963517731958762 -0.3718537680412366 
-0.8586562970297036 -1.6298244900990073 
1.6155485350877197 -0.5548300789473672 
-1.8145329679487152 -0.12991277403846174 
1.81564193401015 -0.20860267512690386 
0.31541279087452456 -1.535718642585553 
1.468511626865673 -0.6489057761194029 
-0.24652352427184496 -1.6095634466019384 
-0.42298842857142777 -1.5219932857142862 
-0.8936600299999986 -1.270874430000003 
-1.0705470406091384 -1.34602337563452 
1.352897108695652 -1.1762159782608699 
1.401325333333335 -1.0489433333333333 
0.026114018433179696 -1.5446155714285732 
0.13081540000000028 -1.8001455999999987 
0.3117208750000005 -1.7315540133928562 
-1.2180623333333322 -1.3461730000000012 
0.17488300000000007 -1.7876655000000012 
1.5420895000000008 -1.0412210000000002 
1.6548684971428549 -0.9297830114285713 
1.644136082926831 -0.7976300780487815 
-1.5405604851063843 -0.41332849361702134 
-1.3440490773195881 -0.8381594123711339 
-1.5658306943396179 -0.1803558169811322 
-1.4401877175572508 -0.9854037137404584 
-1.5094650252100847 -0.7402926050420171 
1.0060388126315785 -1.5176819726315798 
0.9641258783333366 -1.2333530883333372 
1.6549999817073175 -0.20955162195121943 
1.5443497500000014 -0.16158850000000005 
0.21903703012048187 -1.6435965662650613 
-1.1301071666666664 -1.520733999999999 
1.6451208915662643 -0.07862288554216881 
0.7010903131313142 -1.7339888005050481 
-1.653198 -0.286334 53
-1.761234 -0.185407 33
-0.502002 -1.841709 18
-1.932561 -0.084044 33
1.887235 -0.081715 8
-1.482772 -0.259392 53
0.517963 -1.733806 10
-1.580422 -0.558797 21
-0.919641 -1.62483 31
-1.882813 -0.473378 7
-1.104609 -1.388977 40
-1.688466 -0.560052 17
1.368067 -1.239846 41
1.003006 -1.224293 57
-1.838002 -0.201284 33
-0.901671 -1.450084 24
1.836034 -0.057195 8
0.600224 -1.69188 63
0.343062 -1.839013 29
1.623432 -0.447689 5
0.671299 -1.708277 63
-0.367782 -1.631906 26
-1.656257 -0.24249 53
0.176964 -1.829092 47
-0.854473 -1.527447 31
0.633789 -1.789252 63
0.040058 -1.775853 20
0.687261 -1.735595 63
-0.672704 -1.499315 14
1.518582 -0.121733 59
-0.725332 -1.432865 14
-1.857392 -0.509551 7
1.267899 -1.106542 4
-1.051964 -1.468481 24
0.412597 -1.681352 10
-0.05313 -1.7532 20
-0.98965 -1.569274 24
-0.01902 -1.557005 43
1.145782 -1.430733 2
-0.325181 -1.786227 28
-1.276477 -0.851898 52
0.517625 -1.66833 10
1.363424 -0.630854 36
-1.111066 -1.476324 61
0.947986 -1.424566 56
1.345613 -0.941537 3
1.114734 -1.173477 4
1.268587 -1.307063 2
-0.686612 -1.567251 14
-0.689317 -1.729511 25
1.267709 -1.454369 2
-1.147662 -1.532714 61
1.375964 -0.610496 36
0.020359 -1.853289 20
1.229666 -0.945237 3
-0.179206 -1.511471 37
-0.73694 -1.797199 18
1.489567 -0.455183 12
1.669129 -0.017385 62
1.270616 -1.25087 2
-1.691756 -0.67282 17
1.347185 -0.857851 3
1.70635 -0.915041 49
1.369302 -1.337626 2
1.52611 -0.478487 12
-0.546508 -1.828265 18
0.644769 -1.525766 22
0.692303 -1.679223 63
1.571925 -0.592938 32
1.661731 -0.545705 32
-0.648031 -1.83909 18
-0.171457 -1.845488 11
0.8617 -1.227252 57
0.704584 -1.776559 63
1.778928 -0.23149 34
0.983846 -1.158866 57
1.255173 -1.108801 4
-0.747339 -1.472812 14
-0.004776 -1.674667 20
-1.357779 -1.213672 1
1.145352 -1.524888 56
1.246313 -0.935875 3
0.632688 -1.483893 22
-0.057976 -1.776735 20
0.492591 -1.694104 10
1.498272 -0.487841 12
0.9768 -1.356116 57
0.36931 -1.749284 45
-0.917227 -1.208962 39
1.216986 -0.928378 3
-0.555554 -1.820841 18
-1.816694 -0.337531 7
-0.50444 -1.674635 25
1.634653 -0.764018 50
1.471226 -1.272302 16
-1.482625 -1.206885 1
-1.501725 -0.678579 55
-1.009655 -1.42005 24
0.084053 -1.653383 20
-0.86503 -1.319557 39
1.605512 -0.905827 49
1.518044 -0.645445 36
-0.118803 -1.708088 20
1.566315 -0.105972 59
-1.153836 -0.983021 13
-0.805128 -1.408273 14
-1.538406 -0.197185 53
1.537523 -0.528013 32
-0.599422 -1.445175 15
-1.60716 -0.134948 53
-1.075524 -1.316604 40
-0.226385 -1.65388 37
-1.344563 -0.659369 23
-1.604045 -0.433228 51
-1.560104 -0.450635 51
-0.712352 -1.578537 14
1.408949 -0.887948 3
0.228238 -1.638326 60
0.747851 -1.602999 19
1.584778 -0.282889 5
0.389466 -1.780444 29
0.034927 -1.716619 20
-1.549978 -1.156656 1
-1.61229 -0.588106 17
1.615059 -0.485332 32
-1.403758 -0.809128 52
1.559942 -0.228086 59
-1.554622 -0.23316 53
-1.092555 -1.560634 61
-1.070339 -1.386113 40
-1.587538 -0.21427 53
1.876042 -0.027446 8
1.023854 -1.64547 56
-1.527183 -0.959254 54
-1.288442 -1.416618 6
-0.320363 -1.735545 28
-1.246318 -1.001802 13
-0.377402 -1.852894 28
-1.764552 -0.393636 7
-0.436318 -1.688514 26
-0.857893 -1.61652 31
-1.506366 -0.717122 55
1.454029 -1.227474 16
1.39725 -1.172889 41
0.749412 -1.571564 19
1.652923 -0.224046 58
-0.491053 -1.87031 18
0.292066 -1.648019 60
1.44499 -0.624445 36
-1.681953 -0.029358 33
-1.535414 -0.46191 51
0.91678 -1.606302 56
0.700021 -1.814597 63
-1.524977 -0.908337 54
-0.966642 -1.498618 24
1.226399 -1.160796 4
-0.693499 -1.453119 14
-1.305651 -1.224566 1
-1.426641 -1.192604 1
-1.773233 -0.784198 9
1.58321 -0.622671 32
-1.634888 -0.86398 9
-1.467081 -0.624569 23
0.104797 -1.583145 43
1.724895 -0.76954 50
0.268372 -1.897912 29
1.637653 -0.31281 5
-0.373776 -1.826692 28
1.0297 -1.157631 57
-1.483126 -0.656666 23
1.594151 -0.064553 62
1.852581 -0.380145 30
1.621611 -0.12499 62
-1.377778 -0.707628 23
-1.503939 -0.81761 55
1.646177 -0.909718 49
-1.608897 -1.0515 9
-0.963633 -1.198405 39
-0.764208 -1.538602 14
0.140432 -1.778447 44
-1.539027 -0.670905 21
1.268493 -1.354075 2
1.551668 -0.868535 50
-1.519722 -0.334113 51
1.391131 -1.252342 41
-1.424397 -0.954347 54
-1.860817 -0.229251 33
-1.192303 -1.089609 13
-1.187883 -1.329428 46
1.564155 -0.541668 32
1.31051 -1.105872 41
1.610297 -0.445765 5
1.78461 -0.213225 34
1.036872 -1.241817 57
-1.734594 -0.219694 33
-1.706058 -0.065247 33
1.303467 -0.786634 3
-0.469401 -1.48856 38
0.459354 -1.669355 10
0.12721 -1.774753 44
-1.270056 -1.00962 13
0.702803 -1.588151 19
-1.551051 -0.435046 51
1.063331 -1.298523 57
-1.64924 -1.02726 9
0.919231 -1.187714 57
-1.670499 -1.000319 9
-0.674859 -1.82156 18
0.255189 -1.720293 45
1.335649 -1.282748 2
-0.238449 -1.606474 37
-0.696462 -1.355994 14
1.620793 -0.507086 32
-0.151703 -1.653751 37
-0.271518 -1.890828 28
-1.880859 -0.036719 33
0.860439 -1.523346 19
-1.269515 -1.333509 46
-1.512343 -0.037677 53
1.776606 -0.530017 0
-0.541758 -1.652214 25
-0.062999 -1.764581 20
1.256893 -0.911252 3
-1.548737 -0.077288 53
1.543445 -0.302669 5
1.236616 -1.022349 4
-0.358869 -1.742476 28
-1.204926 -0.917697 13
1.720255 -0.568714 0
-0.112979 -1.886775 11
-1.671222 -0.756077 9
0.825581 -1.291979 57
0.99417 -1.181271 57
1.261484 -0.862527 3
1.237655 -1.366092 2
1.786537 -0.67552 0
1.423822 -1.043089 42
1.489167 -0.469972 12
0.343782 -1.609865 35
1.29117 -0.846455 3
1.228681 -1.458649 2
1.099025 -1.14004 4
1.834984 -0.55848 0
-0.319916 -1.615433 37
-0.359701 -1.487907 38
1.068752 -1.411924 56
0.462116 -1.768374 10
-1.550566 -0.234551 53
0.233786 -1.519001 35
1.52962 -0.66827 36
0.190372 -1.719139 47
0.533686 -1.794382 10
1.447758 -1.207704 16
0.975478 -1.409576 56
-1.733203 -0.791177 9
1.619614 -0.355697 5
-0.483132 -1.535534 38
0.945348 -1.160929 57
1.773498 -0.484739 0
-0.419028 -1.544798 38
1.66657 -0.183521 58
-1.903997 -0.113701 33
0.05058 -1.496817 43
1.022603 -1.243944 57
-1.844881 -0.248347 33
1.237213 -1.501334 2
-1.630756 -0.947792 9
0.501808 -1.442344 22
-1.520411 -0.16794 53
1.677955 -0.475545 32
-1.104739 -1.513351 61
-0.839597 -1.501652 14
-1.48288 -0.540753 21
-1.810091 -0.073276 33
1.526919 -1.082637 48
-1.900846 -0.076231 33
0.89654 -1.294531 57
-1.830969 -0.110208 33
1.148213 -1.108783 4
-1.624731 -0.995661 9
1.131628 -1.580645 56
0.267999 -1.557474 35
1.568226 -0.703089 36
0.138012 -1.77892 44
1.418642 -1.047262 42
-1.699314 -0.542972 17
1.629615 -0.259186 58
-1.764346 -0.296977 7
-1.345084 -1.083137 54
-1.409058 -0.989775 54
-1.02787 -1.247609 40
-1.715879 -0.489428 17
0.371456 -1.707953 45
1.752973 -0.326268 30
0.453449 -1.752738 10
1.690168 -0.684503 50
1.495016 -0.331709 12
1.661049 -0.989951 49
-1.655343 -0.977764 9
-0.302643 -1.559104 37
1.358984 -1.333097 2
0.348361 -1.53393 35
-1.477469 -0.385937 51
1.448646 -0.389155 12
0.79101 -1.665092 63
-1.381254 -1.078527 54
0.077056 -1.700966 20
0.920569 -1.485449 56
-1.502081 -0.165039 53
-1.260823 -1.408129 6
0.348366 -1.909609 29
0.113954 -1.517777 43
-0.788056 -1.45532 14
0.021025 -1.512125 43
0.832199 -1.259479 57
-0.448072 -1.791261 18
-1.595438 -0.287407 53
0.516289 -1.690194 10
1.836705 -0.437429 30
-1.545384 -0.359134 51
-1.760616 -0.194693 33
1.243522 -0.939004 3
-1.269499 -1.017073 13
1.223788 -1.192922 4
0.115449 -1.886014 44
0.035924 -1.781696 20
-1.404621 -1.141971 1
-1.361686 -0.99724 54
0.11862 -1.638151 60
-0.978348 -1.678318 27
-0.411525 -1.560907 38
-1.6184 -0.527813 17
0.808213 -1.647976 63
-1.307903 -0.773373 52
1.451671 -0.427675 12
-0.831137 -1.670106 31
0.266452 -1.532405 35
-1.20578 -0.989851 13
-1.534933 -0.570254 21
1.730583 -0.354023 30
-0.802394 -1.441851 14
1.758138 -0.481381 0
-0.901859 -1.364831 39
1.85607 -0.593759 0
-1.874531 -0.401147 7
0.265725 -1.772139 45
0.934051 -1.306375 57
0.575231 -1.613791 22
-1.021965 -1.102724 13
0.825207 -1.526447 19
1.765668 -0.047918 8
1.644518 -0.301764 5
0.839647 -1.690477 63
0.319814 -1.8801 29
1.108167 -1.142644 4
0.050995 -1.761183 20
0.473196 -1.712006 10
-0.829118 -1.725324 31
0.954338 -1.420791 56
-0.601818 -1.506114 15
0.469287 -1.525814 22
1.905961 -0.163207 34
-1.603176 -0.990389 9
1.814563 -0.347698 30
-0.728628 -1.596278 14
1.662478 -0.051722 62
0.650543 -1.637758 22
1.306327 -1.327573 2
-1.917548 -0.024384 33
0.392168 -1.765914 29
-1.298859 -0.92036 52
-1.823426 -0.265269 7
-1.781629 -0.194883 33
1.802787 -0.412009 30
-0.39208 -1.460689 38
-0.78903 -1.285653 39
1.494891 -0.363497 12
1.446398 -0.529607 12
1.113252 -1.465785 56
1.545938 -1.164795 16
1.028567 -1.160039 57
-0.181679 -1.937619 11
-0.306582 -1.758056 28
-0.619524 -1.547283 15
-1.38516 -0.616715 23
0.777342 -1.414956 19
1.616014 -0.439249 5
