1.6973464219495544 -0.6157825044308105 
-1.4313669928977353 -1.185927427556817 
1.2694434442712528 -1.3781277653936073 
1.2829058266666618 -0.9555241529411811 
1.0690919189189185 -1.1869908656370647 
1.5764616905965712 -0.2877341951466117 
-1.2533197519379886 -1.3802329560723545 
-1.7079558817470082 -0.1649916786155739 
1.7194602444444536 -0.07600825359477087 
-1.636895231469443 -0.94021392197659 
0.3551055071225071 -1.57467369135803 
-0.10150555266579969 -1.805428210663204 
1.5065898902616273 -0.49402101090116246 
-1.2508256954377266 -1.0129121602959315 
-0.7413051725571725 -1.4774421444906463 
-0.5633971722113515 -1.5033105714285688 
1.547999100000007 -1.033232942156868 
-1.6605515626666623 -0.4488175946666662 
-0.5646231000000019 -1.8287627 
0.9039567282011006 -1.4389501798900215 
0.07401834136807844 -1.6839884990228091 
-1.5448113427592145 -0.643745792630678 
0.6520281206368633 -1.676991075933882 
-1.385186171516081 -0.8181550888208281 
-0.995275861834651 -1.3276540883352224 
-0.5693533195266245 -1.6678091499013799 
-0.3445752962962959 -1.5738052341696527 
-1.0797643702064847 -1.5280486991150408 
-0.31945243205574764 -1.8203250087108038 
0.34392906547618923 -1.7865595230654816 
1.7948450047449573 -0.2813001969157782 
-0.8750839303370789 -1.6383093123595502 
-0.686612 -1.567251 14
-0.689317 -1.729511 25
1.267709 -1.454369 2
-1.147662 -1.532714 27
1.375964 -0.610496 12
0.020359 -1.853289 11
1.229666 -0.945237 3
-0.179206 -1.511471 26
-0.73694 -1.797199 18
1.489567 -0.455183 12
1.669129 -0.017385 8
1.270616 -1.25087 2
-1.691756 -0.67282 21
1.347185 -0.857851 3
1.70635 -0.915041 16
1.369302 -1.337626 2
1.52611 -0.478487 12
-0.546508 -1.828265 18
0.644769 -1.525766 22
0.692303 -1.679223 22
1.571925 -0.592938 12
1.661731 -0.545705 0
-0.648031 -1.83909 18
-0.171457 -1.845488 11
0.8617 -1.227252 4
0.704584 -1.776559 22
1.778928 -0.23149 30
0.983846 -1.158866 4
1.255173 -1.108801 3
-0.747339 -1.472812 14
-0.004776 -1.674667 20
-1.357779 -1.213672 1
1.145352 -1.524888 2
1.246313 -0.935875 3
0.632688 -1.483893 22
-0.057976 -1.776735 11
0.492591 -1.694104 22
1.498272 -0.487841 12
0.9768 -1.356116 19
0.36931 -1.749284 29
-0.917227 -1.208962 24
1.216986 -0.928378 3
-0.555554 -1.820841 18
-1.816694 -0.337531 17
-0.50444 -1.674635 25
1.634653 -0.764018 0
1.471226 -1.272302 2
-1.482625 -1.206885 1
-1.501725 -0.678579 21
-1.009655 -1.42005 24
0.084053 -1.653383 20
-0.86503 -1.319557 24
1.605512 -0.905827 16
1.518044 -0.645445 12
-0.118803 -1.708088 11
1.566315 -0.105972 8
-1.153836 -0.983021 13
-0.805128 -1.408273 14
-1.538406 -0.197185 7
1.537523 -0.528013 12
-0.599422 -1.445175 15
-1.60716 -0.134948 7
-1.075524 -1.316604 24
-0.226385 -1.65388 26
-1.344563 -0.659369 23
-1.604045 -0.433228 17
-1.560104 -0.450635 17
-0.712352 -1.578537 14
1.408949 -0.887948 3
0.228238 -1.638326 10
0.747851 -1.602999 22
1.584778 -0.282889 5
0.389466 -1.780444 29
0.034927 -1.716619 20
-1.549978 -1.156656 1
-1.61229 -0.588106 21
1.615059 -0.485332 12
-1.403758 -0.809128 23
1.559942 -0.228086 5
-1.554622 -0.23316 7
-1.092555 -1.560634 27
-1.070339 -1.386113 24
-1.587538 -0.21427 7
1.876042 -0.027446 8
1.023854 -1.64547 19
-1.527183 -0.959254 9
-1.288442 -1.416618 6
-0.320363 -1.735545 28
-1.246318 -1.001802 13
-0.377402 -1.852894 28
-1.764552 -0.393636 17
-0.436318 -1.688514 25
-0.857893 -1.61652 31
-1.506366 -0.717122 21
1.454029 -1.227474 16
1.39725 -1.172889 16
0.749412 -1.571564 22
1.652923 -0.224046 5
-0.491053 -1.87031 18
0.292066 -1.648019 10
1.44499 -0.624445 12
-1.681953 -0.029358 7
-1.535414 -0.46191 17
0.91678 -1.606302 19
0.700021 -1.814597 22
-1.524977 -0.908337 9
-0.966642 -1.498618 27
1.226399 -1.160796 4
-0.693499 -1.453119 14
-1.305651 -1.224566 1
-1.426641 -1.192604 1
-1.773233 -0.784198 9
1.58321 -0.622671 0
-1.634888 -0.86398 9
-1.467081 -0.624569 21
0.104797 -1.583145 20
1.724895 -0.76954 0
0.268372 -1.897912 29
1.637653 -0.31281 5
-0.373776 -1.826692 28
1.0297 -1.157631 4
-1.483126 -0.656666 21
1.594151 -0.064553 8
1.852581 -0.380145 30
1.621611 -0.12499 8
-1.377778 -0.707628 23
-1.503939 -0.81761 23
1.646177 -0.909718 16
-1.608897 -1.0515 9
-0.963633 -1.198405 24
-0.764208 -1.538602 14
0.140432 -1.778447 20
-1.539027 -0.670905 21
1.268493 -1.354075 2
1.551668 -0.868535 16
-1.519722 -0.334113 17
1.391131 -1.252342 2
-1.424397 -0.954347 23
-1.860817 -0.229251 7
-1.192303 -1.089609 13
-1.187883 -1.329428 6
1.564155 -0.541668 12
1.31051 -1.105872 3
1.610297 -0.445765 12
1.78461 -0.213225 30
1.036872 -1.241817 4
-1.734594 -0.219694 7
-1.706058 -0.065247 7
1.303467 -0.786634 3
-0.469401 -1.48856 15
0.459354 -1.669355 10
0.12721 -1.774753 20
-1.270056 -1.00962 13
0.702803 -1.588151 22
-1.551051 -0.435046 17
1.063331 -1.298523 4
-1.64924 -1.02726 9
0.919231 -1.187714 4
-1.670499 -1.000319 9
-0.674859 -1.82156 18
0.255189 -1.720293 29
1.335649 -1.282748 2
-0.238449 -1.606474 26
-0.696462 -1.355994 14
1.620793 -0.507086 12
-0.151703 -1.653751 11
-0.271518 -1.890828 28
-1.880859 -0.036719 7
0.860439 -1.523346 19
-1.269515 -1.333509 6
-1.512343 -0.037677 7
1.776606 -0.530017 0
-0.541758 -1.652214 25
-0.062999 -1.764581 11
1.256893 -0.911252 3
-1.548737 -0.077288 7
1.543445 -0.302669 5
1.236616 -1.022349 3
-0.358869 -1.742476 28
-1.204926 -0.917697 13
1.720255 -0.568714 0
-0.112979 -1.886775 11
-1.671222 -0.756077 21
0.825581 -1.291979 19
0.99417 -1.181271 4
1.261484 -0.862527 3
1.237655 -1.366092 2
1.786537 -0.67552 0
1.423822 -1.043089 16
1.489167 -0.469972 12
0.343782 -1.609865 10
1.29117 -0.846455 3
1.228681 -1.458649 2
1.099025 -1.14004 4
1.834984 -0.55848 0
-0.319916 -1.615433 26
-0.359701 -1.487907 26
1.068752 -1.411924 19
0.462116 -1.768374 29
-1.550566 -0.234551 7
0.233786 -1.519001 10
1.52962 -0.66827 0
0.190372 -1.719139 20
0.533686 -1.794382 22
1.447758 -1.207704 16
0.975478 -1.409576 19
-1.733203 -0.791177 9
1.619614 -0.355697 5
-0.483132 -1.535534 15
0.945348 -1.160929 4
1.773498 -0.484739 0
-0.419028 -1.544798 26
1.66657 -0.183521 8
-1.903997 -0.113701 7
0.05058 -1.496817 20
1.022603 -1.243944 4
-1.844881 -0.248347 7
1.237213 -1.501334 2
-1.630756 -0.947792 9
0.501808 -1.442344 10
-1.520411 -0.16794 7
1.677955 -0.475545 0
-1.104739 -1.513351 27
-0.839597 -1.501652 14
-1.48288 -0.540753 21
-1.810091 -0.073276 7
1.526919 -1.082637 16
-1.900846 -0.076231 7
0.89654 -1.294531 19
-1.830969 -0.110208 7
1.148213 -1.108783 4
-1.624731 -0.995661 9
1.131628 -1.580645 2
0.267999 -1.557474 10
1.568226 -0.703089 0
0.138012 -1.77892 20
1.418642 -1.047262 16
-1.699314 -0.542972 17
1.629615 -0.259186 5
-1.764346 -0.296977 7
-1.345084 -1.083137 13
-1.409058 -0.989775 13
-1.02787 -1.247609 24
-1.715879 -0.489428 17
0.371456 -1.707953 29
1.752973 -0.326268 30
0.453449 -1.752738 29
1.690168 -0.684503 0
1.495016 -0.331709 5
1.661049 -0.989951 16
-1.655343 -0.977764 9
-0.302643 -1.559104 26
1.358984 -1.333097 2
0.348361 -1.53393 10
-1.477469 -0.385937 17
1.448646 -0.389155 12
0.79101 -1.665092 22
-1.381254 -1.078527 1
0.077056 -1.700966 20
0.920569 -1.485449 19
-1.502081 -0.165039 7
-1.260823 -1.408129 6
0.348366 -1.909609 29
0.113954 -1.517777 20
-0.788056 -1.45532 14
0.021025 -1.512125 20
0.832199 -1.259479 19
-0.448072 -1.791261 18
-1.595438 -0.287407 7
0.516289 -1.690194 22
1.836705 -0.437429 30
-1.545384 -0.359134 17
-1.760616 -0.194693 7
1.243522 -0.939004 3
-1.269499 -1.017073 13
1.223788 -1.192922 4
0.115449 -1.886014 20
0.035924 -1.781696 20
-1.404621 -1.141971 1
-1.361686 -0.99724 13
0.11862 -1.638151 20
-0.978348 -1.678318 31
-0.411525 -1.560907 26
-1.6184 -0.527813 17
0.808213 -1.647976 22
-1.307903 -0.773373 23
1.451671 -0.427675 12
-0.831137 -1.670106 31
0.266452 -1.532405 10
-1.20578 -0.989851 13
-1.534933 -0.570254 21
1.730583 -0.354023 30
-0.802394 -1.441851 14
1.758138 -0.481381 0
-0.901859 -1.364831 24
1.85607 -0.593759 0
-1.874531 -0.401147 17
0.265725 -1.772139 29
0.934051 -1.306375 19
0.575231 -1.613791 22
-1.021965 -1.102724 24
0.825207 -1.526447 19
1.765668 -0.047918 8
1.644518 -0.301764 5
0.839647 -1.690477 22
0.319814 -1.8801 29
1.108167 -1.142644 4
0.050995 -1.761183 20
0.473196 -1.712006 29
-0.829118 -1.725324 31
0.954338 -1.420791 19
-0.601818 -1.506114 15
0.469287 -1.525814 10
1.905961 -0.163207 30
-1.603176 -0.990389 9
1.814563 -0.347698 30
-0.728628 -1.596278 14
1.662478 -0.051722 8
0.650543 -1.637758 22
1.306327 -1.327573 2
-1.917548 -0.024384 7
0.392168 -1.765914 29
-1.298859 -0.92036 13
-1.823426 -0.265269 7
-1.781629 -0.194883 7
1.802787 -0.412009 30
-0.39208 -1.460689 26
-0.78903 -1.285653 14
1.494891 -0.363497 5
1.446398 -0.529607 12
1.113252 -1.465785 2
1.545938 -1.164795 16
1.028567 -1.160039 4
-0.181679 -1.937619 11
-0.306582 -1.758056 28
-0.619524 -1.547283 15
-1.38516 -0.616715 21
0.777342 -1.414956 19
1.616014 -0.439249 12
6014 -0.439249 12
