1.6356082400557477 -0.4508698219314485 
-1.478724507469286 -0.7446371848043463 
-0.18017539790290918 -1.6688006552521002 
1.0574546014257802 -1.3266403691462052 
-0.555554 -1.820841 2
-1.816694 -0.337531 1
-0.50444 -1.674635 2
1.634653 -0.764018 0
1.471226 -1.272302 3
-1.482625 -1.206885 1
-1.501725 -0.678579 1
-1.009655 -1.42005 1
0.084053 -1.653383 2
-0.86503 -1.319557 2
1.605512 -0.905827 0
1.518044 -0.645445 0
-0.118803 -1.708088 2
1.566315 -0.105972 0
-1.153836 -0.983021 1
-0.805128 -1.408273 2
-1.538406 -0.197185 1
1.537523 -0.528013 0
-0.599422 -1.445175 2
-1.60716 -0.134948 1
-1.075524 -1.316604 1
-0.226385 -1.65388 2
-1.344563 -0.659369 1
-1.604045 -0.433228 1
-1.560104 -0.450635 1
-0.712352 -1.578537 2
1.408949 -0.887948 0
0.228238 -1.638326 2
0.747851 -1.602999 3
1.584778 -0.282889 0
0.389466 -1.780444 2
0.034927 -1.716619 2
-1.549978 -1.156656 1
-1.61229 -0.588106 1
1.615059 -0.485332 0
-1.403758 -0.809128 1
1.559942 -0.228086 0
-1.554622 -0.23316 1
-1.092555 -1.560634 1
-1.070339 -1.386113 1
-1.587538 -0.21427 1
1.876042 -0.027446 0
1.023854 -1.64547 3
-1.527183 -0.959254 1
-1.288442 -1.416618 1
-0.320363 -1.735545 2
-1.246318 -1.001802 1
-0.377402 -1.852894 2
-1.764552 -0.393636 1
-0.436318 -1.688514 2
-0.857893 -1.61652 2
-1.506366 -0.717122 1
1.454029 -1.227474 3
1.39725 -1.172889 3
0.749412 -1.571564 3
1.652923 -0.224046 0
-0.491053 -1.87031 2
0.292066 -1.648019 2
1.44499 -0.624445 0
-1.681953 -0.029358 1
-1.535414 -0.46191 1
0.91678 -1.606302 3
0.700021 -1.814597 3
-1.524977 -0.908337 1
-0.966642 -1.498618 2
1.226399 -1.160796 3
-0.693499 -1.453119 2
-1.305651 -1.224566 1
-1.426641 -1.192604 1
-1.773233 -0.784198 1
1.58321 -0.622671 0
-1.634888 -0.86398 1
-1.467081 -0.624569 1
0.104797 -1.583145 2
1.724895 -0.76954 0
0.268372 -1.897912 2
1.637653 -0.31281 0
-0.373776 -1.826692 2
1.0297 -1.157631 3
-1.483126 -0.656666 1
1.594151 -0.064553 0
1.852581 -0.380145 0
1.621611 -0.12499 0
-1.377778 -0.707628 1
-1.503939 -0.81761 1
1.646177 -0.909718 0
-1.608897 -1.0515 1
-0.963633 -1.198405 1
-0.764208 -1.538602 2
0.140432 -1.778447 2
-1.539027 -0.670905 1
1.268493 -1.354075 3
1.551668 -0.868535 0
-1.519722 -0.334113 1
1.391131 -1.252342 3
-1.424397 -0.954347 1
-1.860817 -0.229251 1
-1.192303 -1.089609 1
-1.187883 -1.329428 1
1.564155 -0.541668 0
1.31051 -1.105872 3
1.610297 -0.445765 0
1.78461 -0.213225 0
1.036872 -1.241817 3
-1.734594 -0.219694 1
-1.706058 -0.065247 1
1.303467 -0.786634 0
-0.469401 -1.48856 2
0.459354 -1.669355 2
0.12721 -1.774753 2
-1.270056 -1.00962 1
0.702803 -1.588151 3
-1.551051 -0.435046 1
1.063331 -1.298523 3
-1.64924 -1.02726 1
0.919231 -1.187714 3
-1.670499 -1.000319 1
-0.674859 -1.82156 2
0.255189 -1.720293 2
1.335649 -1.282748 3
-0.238449 -1.606474 2
-0.696462 -1.355994 2
1.620793 -0.507086 0
-0.151703 -1.653751 2
-0.271518 -1.890828 2
-1.880859 -0.036719 1
0.860439 -1.523346 3
-1.269515 -1.333509 1
-1.512343 -0.037677 1
1.776606 -0.530017 0
-0.541758 -1.652214 2
-0.062999 -1.764581 2
1.256893 -0.911252 3
-1.548737 -0.077288 1
1.543445 -0.302669 0
1.236616 -1.022349 3
-0.358869 -1.742476 2
-1.204926 -0.917697 1
1.720255 -0.568714 0
-0.112979 -1.886775 2
-1.671222 -0.756077 1
0.825581 -1.291979 3
0.99417 -1.181271 3
1.261484 -0.862527 3
1.237655 -1.366092 3
1.786537 -0.67552 0
1.423822 -1.043089 3
1.489167 -0.469972 0
0.343782 -1.609865 2
1.29117 -0.846455 0
1.228681 -1.458649 3
1.099025 -1.14004 3
1.834984 -0.55848 0
-0.319916 -1.615433 2
-0.359701 -1.487907 2
1.068752 -1.411924 3
0.462116 -1.768374 2
-1.550566 -0.234551 1
0.233786 -1.519001 2
1.52962 -0.66827 0
0.190372 -1.719139 2
0.533686 -1.794382 3
1.447758 -1.207704 3
0.975478 -1.409576 3
-1.733203 -0.791177 1
1.619614 -0.355697 0
-0.483132 -1.535534 2
0.945348 -1.160929 3
1.773498 -0.484739 0
-0.419028 -1.544798 2
1.66657 -0.183521 0
-1.903997 -0.113701 1
0.05058 -1.496817 2
1.022603 -1.243944 3
-1.844881 -0.248347 1
1.237213 -1.501334 3
-1.630756 -0.947792 1
0.501808 -1.442344 3
-1.520411 -0.16794 1
1.677955 -0.475545 0
-1.104739 -1.513351 1
-0.839597 -1.501652 2
-1.48288 -0.540753 1
-1.810091 -0.073276 1
1.526919 -1.082637 3
-1.900846 -0.076231 1
0.89654 -1.294531 3
-1.830969 -0.110208 1
1.148213 -1.108783 3
-1.624731 -0.995661 1
1.131628 -1.580645 3
0.267999 -1.557474 2
1.568226 -0.703089 0
0.138012 -1.77892 2
1.418642 -1.047262 3
-1.699314 -0.542972 1
1.629615 -0.259186 0
-1.764346 -0.296977 1
-1.345084 -1.083137 1
-1.409058 -0.989775 1
-1.02787 -1.247609 1
-1.715879 -0.489428 1
0.371456 -1.707953 2
1.752973 -0.326268 0
0.453449 -1.752738 2
1.690168 -0.684503 0
1.495016 -0.331709 0
1.661049 -0.989951 0
-1.655343 -0.977764 1
-0.302643 -1.559104 2
1.358984 -1.333097 3
0.348361 -1.53393 2
-1.477469 -0.385937 1
1.448646 -0.389155 0
0.79101 -1.665092 3
-1.381254 -1.078527 1
0.077056 -1.700966 2
0.920569 -1.485449 3
-1.502081 -0.165039 1
-1.260823 -1.408129 1
0.348366 -1.909609 2
0.113954 -1.517777 2
-0.788056 -1.45532 2
0.021025 -1.512125 2
0.832199 -1.259479 3
-0.448072 -1.791261 2
-1.595438 -0.287407 1
0.516289 -1.690194 3
1.836705 -0.437429 0
-1.545384 -0.359134 1
-1.760616 -0.194693 1
1.243522 -0.939004 3
-1.269499 -1.017073 1
1.223788 -1.192922 3
0.115449 -1.886014 2
0.035924 -1.781696 2
-1.404621 -1.141971 1
-1.361686 -0.99724 1
0.11862 -1.638151 2
-0.978348 -1.678318 2
-0.411525 -1.560907 2
-1.6184 -0.527813 1
0.808213 -1.647976 3
-1.307903 -0.773373 1
1.451671 -0.427675 0
-0.831137 -1.670106 2
0.266452 -1.532405 2
-1.20578 -0.989851 1
-1.534933 -0.570254 1
1.730583 -0.354023 0
-0.802394 -1.441851 2
1.758138 -0.481381 0
-0.901859 -1.364831 2
1.85607 -0.593759 0
-1.874531 -0.401147 1
0.265725 -1.772139 2
0.934051 -1.306375 3
0.575231 -1.613791 3
-1.021965 -1.102724 1
0.825207 -1.526447 3
1.765668 -0.047918 0
1.644518 -0.301764 0
0.839647 -1.690477 3
0.319814 -1.8801 2
1.108167 -1.142644 3
0.050995 -1.761183 2
0.473196 -1.712006 2
-0.829118 -1.725324 2
0.954338 -1.420791 3
-0.601818 -1.506114 2
0.469287 -1.525814 3
1.905961 -0.163207 0
-1.603176 -0.990389 1
1.814563 -0.347698 0
-0.728628 -1.596278 2
1.662478 -0.051722 0
0.650543 -1.637758 3
1.306327 -1.327573 3
-1.917548 -0.024384 1
0.392168 -1.765914 2
-1.298859 -0.92036 1
-1.823426 -0.265269 1
-1.781629 -0.194883 1
1.802787 -0.412009 0
-0.39208 -1.460689 2
-0.78903 -1.285653 2
1.494891 -0.363497 0
1.446398 -0.529607 0
1.113252 -1.465785 3
1.545938 -1.164795 3
1.028567 -1.160039 3
-0.181679 -1.937619 2
-0.306582 -1.758056 2
-0.619524 -1.547283 2
-1.38516 -0.616715 1
0.777342 -1.414956 3
1.616014 -0.439249 0

